iter	Passed	Remaining
0	1	152
1	2	132
2	3	126
3	4	118
4	6	116
5	7	115
6	8	113
7	9	112
8	10	110
9	12	109
10	13	107
11	14	106
12	15	105
13	16	103
14	18	102
15	19	100
16	20	98
17	21	97
18	22	97
19	24	97
20	25	95
21	26	94
22	27	93
23	29	92
24	30	90
25	31	89
26	32	87
27	33	86
28	34	85
29	35	83
30	37	82
31	38	81
32	39	80
33	40	78
34	41	77
35	43	76
36	44	75
37	45	74
38	46	73
39	48	72
40	49	70
41	49	68
42	50	67
43	51	66
44	53	64
45	54	63
46	55	62
47	57	62
48	59	61
49	60	60
50	61	59
51	62	57
52	63	56
53	64	55
54	65	53
55	66	52
56	68	51
57	69	50
58	70	49
59	72	48
60	73	47
61	74	45
62	76	44
63	77	43
64	78	42
65	79	41
66	80	39
67	82	38
68	83	37
69	84	36
70	86	35
71	87	34
72	89	32
73	90	31
74	92	30
75	93	29
76	95	28
77	96	27
78	98	26
79	100	25
80	101	23
81	103	22
82	104	21
83	106	20
84	107	18
85	108	17
86	110	16
87	111	15
88	113	14
89	114	12
90	116	11
91	118	10
92	119	9
93	121	7
94	122	6
95	123	5
96	124	3
97	125	2
98	126	1
99	128	0
